name,time,68449,68451,68453,72964,74349,74660,74670,74808,_msgid,humidity,rain,temperature,wind_direction,wind_speed
pm10,1665087410415633900,13.48,10.18,12.55,6.9,15.13,5.6,5.2,0,7bc5cb4afca97f19,63,0,0,0,6.4
pm10,1665087418310581418,13.48,10.18,12.55,6.9,15.13,5.6,5.2,0,7bc5cb4afca97f19,63,0,0,0,6.4
pm10,1665087710380358305,10.18,7.7,8.45,7.2,9.48,10.2,6.9,0,9c8593fb96507aad,63,0,0,0,7.8
pm10,1665088010424228849,10.18,7.7,8.45,7.2,9.48,10.2,6.9,0,9c8593fb96507aad,63,0,0,0,6.1
pm10,1665088310568269242,11.93,10.82,11.48,6.3,10.73,9.6,9.9,0,9c86c465d6e3fd39,62,0,22.7,93,6.1
pm10,1665088610597746712,11.93,10.82,11.48,6.3,10.73,9.6,9.9,0,9c86c465d6e3fd39,62,0,22.7,107,7.8
pm10,1665088910581832894,9.6,7.65,9.85,11.6,14.53,8.7,5.2,0,e004dfcf95818f5d,62,0,22.7,120,7.7
pm10,1665089210610539481,9.6,7.65,9.85,11.6,14.53,8.7,5.2,0,e004dfcf95818f5d,62,0,22.7,98,5.3
pm10,1665089510462610612,9.17,10.73,11.38,8.9,10.87,7.2,6.8,0,af108076947ab05c,62,0,22.7,133,4.9
pm10,1665089810462083430,9.17,10.73,11.38,8.9,10.87,7.2,6.8,0,af108076947ab05c,62,0,22.7,105,4.2
pm10,1665090110405597558,8.9,7.82,9.9,7.6,15.23,7.2,5.4,0,64b6b8a4481ff869,62,0,22.6,94,3
pm10,1665090410670998763,8.9,7.82,9.9,7.6,15.23,7.2,5.4,0,64b6b8a4481ff869,62,0,22.6,107,2.8
pm10,1665090710663329051,8.95,10.13,5.43,7.2,12.87,8.9,5.1,0,bdb5c79e6935d998,62,0,22.6,87,4.3
pm10,1665091010649307878,8.95,10.13,5.43,7.2,12.87,8.9,5.1,0,bdb5c79e6935d998,62,0,22.5,90,2.1
pm10,1665091310448375577,10.88,9,7.93,9.3,11.83,6.4,6.6,0,68853c70f4858936,62,0,22.4,107,4
pm10,1665091610686691422,10.88,9,7.93,9.3,11.83,6.4,6.6,0,68853c70f4858936,62,0,22.4,103,6
pm10,1665091910455434001,8.98,11.13,8.63,7.3,10.27,6.5,4.7,0,e68ad71ce224c576,63,0,22.4,158,5.9
pm10,1665092210662505853,8.98,11.13,8.63,7.3,10.27,6.5,4.7,0,e68ad71ce224c576,63,0,22.3,122,4.2
pm10,1665092510687560751,9.7,9.5,8.97,8.1,10.1,10.1,6.1,0,9a93049af9643082,64,0,22.3,117,6
pm10,1665092810709209246,9.7,9.5,8.97,8.1,10.1,10.1,6.1,0,9a93049af9643082,64,0,22.3,121,8.3
pm10,1665093110686282421,12.13,8.23,11.55,6.8,9.2,8.6,6.3,0,a4188a4bb3ace241,64,0,22.3,132,5.7
pm10,1665093410723842017,12.13,8.23,11.55,6.8,9.2,8.6,6.3,0,a4188a4bb3ace241,64,0,22.2,117,6.4
pm10,1665093710663694886,10.23,9.57,11.43,6.6,10.7,9.4,6.4,0,abcc7ffdd65983f7,65,0,22.2,115,5.1
pm10,1665094010518598676,10.23,9.57,11.43,6.6,10.7,9.4,6.4,0,abcc7ffdd65983f7,65,0,22.2,115,7.4
pm10,1665094310584473258,8.2,8.25,13,4.4,9.65,7.7,6.7,0,5774864280a9f107,65,0,22.1,134,8.2
pm10,1665094610750464318,8.2,8.25,13,4.4,9.65,7.7,6.7,0,5774864280a9f107,65,0,22.1,112,6.9
pm10,1665094910688482007,13.65,7.33,11.93,5.1,10.1,4.8,5.9,0,3635f9cf7e65c563,65,0,22,111,8.7
pm10,1665095210542069226,13.65,7.33,11.93,5.1,10.1,4.8,5.9,0,3635f9cf7e65c563,65,0,22,128,6.1
pm10,1665095510537914348,7.05,10.6,8.6,6.9,8.27,8,5.4,0,800ecf445dff1688,64,0,21.9,125,8.8
pm10,1665095810616544782,7.05,10.6,8.6,6.9,8.27,8,5.4,0,800ecf445dff1688,64,0,21.9,136,8.4
pm10,1665096110547263144,7.07,7.82,6.2,6.4,12.2,6.7,6,0,62886f8dd6faed66,64,0,21.8,113,7.3
pm10,1665096410592175932,7.07,7.82,6.2,6.4,12.2,6.7,6,0,62886f8dd6faed66,65,0,21.8,156,5.7
pm10,1665096710782629638,10.15,6.88,9.5,5.3,11.1,7.7,5.6,0,39f9ac6584c5e5d0,65,0,21.7,127,8
