name,time,"""74808""",68449,68451,68453,72964,74349,74660,74670,74808,_msgid,_msgid_1,humidity,rain,temperature,wind_direction,wind_speed
pm25,1665087410415572215,,2.58,2.38,2.5,1.7,2.53,1.2,1.3,0,7bc5cb4afca97f19,,63,0,22.7,118,6.4
pm25,1665087418310134552,,2.58,2.38,2.5,1.7,2.53,1.2,1.3,0,7bc5cb4afca97f19,,63,0,22.7,123,6.4
pm25,1665087710380159029,,2.35,2.63,2.9,1.7,2.5,1.7,2.1,0,9c8593fb96507aad,,63,0,22.7,119,7.8
pm25,1665088010424100388,,2.35,2.63,2.9,1.7,2.5,1.7,2.1,0,9c8593fb96507aad,,63,0,22.7,90,6.1
pm25,1665088310568085096,,2.42,3,2.8,1.8,2.53,1.4,2.5,0,9c86c465d6e3fd39,,62,0,22.7,93,6.1
pm25,1665088610597654972,,2.42,3,2.8,1.8,2.53,1.4,2.5,0,9c86c465d6e3fd39,,62,0,22.7,107,7.8
pm25,1665088910581659877,,1.83,2.13,2.47,1.9,3.47,1.5,1.8,0,e004dfcf95818f5d,,62,0,22.7,120,7.7
pm25,1665089210610032486,,1.83,2.13,2.47,1.9,3.47,1.5,1.8,0,e004dfcf95818f5d,,62,0,22.7,98,5.3
pm25,1665089510462439762,,1.5,2.97,2.4,1.8,2.47,1.4,1.7,0,af108076947ab05c,,62,0,22.7,133,4.9
pm25,1665089810461503547,,1.5,2.97,2.4,1.8,2.47,1.4,1.7,0,af108076947ab05c,,62,0,22.7,105,4.2
pm25,1665090110405219691,,1.75,2.92,2.67,1.7,2.8,1.4,1.9,0,64b6b8a4481ff869,,62,0,22.6,94,3
pm25,1665090410670651081,,1.75,2.92,2.67,1.7,2.8,1.4,1.9,0,64b6b8a4481ff869,,62,0,22.6,107,2.8
pm25,1665090710662846593,,2.25,2.88,2.2,2.3,2.7,1.8,1.9,0,bdb5c79e6935d998,,62,0,22.6,87,4.3
pm25,1665091010648499715,,2.25,2.88,2.2,2.3,2.7,1.8,1.9,0,bdb5c79e6935d998,,62,0,22.5,90,2.1
